Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
1/10/2021,Greenlight Card,,Kinokuniya Bookstores,,Childcare:Furnishings,,,-25.02
1/12/2021,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
1/20/2021,Greenlight Card,,Apple,,Childcare:Leisure,,,-4.99
1/30/2021,Greenlight Card,,Transfer Money,,[inflow account],,,150
Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
2/2/2021,Greenlight Card,,Bub And Grandma's,,Childcare:Leisure,,,-7
2/2/2021,Greenlight Card,,Microsoft Corporation,OneDrive,Childcare:Furnishings,,,-1.99
2/3/2021,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
2/3/2021,Greenlight Card,,Jackson Market,,Childcare:Furnishings,,,-8.33
2/5/2021,Greenlight Card,,Village Well Books,,Childcare:Furnishings,,,-19.85
2/5/2021,Greenlight Card,,Pizzette,,Childcare:Furnishings,,,-18.04
2/6/2021,Greenlight Card,,Apple,,Childcare:Leisure,,,-0.99
2/12/2021,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
2/19/2021,Greenlight Card,,YouTube,,Childcare:Leisure,,,-3.99
Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
3/1/2021,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
3/1/2021,Greenlight Card,,Microsoft Corporation,OneDrive,Childcare:Furnishings,,,-1.99
3/1/2021,Greenlight Card,,Atlantic Innovations,,Childcare:Furnishings,,,-10
3/1/2021,Greenlight Card,,Atlantic Innovations,,Childcare:Furnishings,,,-48.36
3/6/2021,Greenlight Card,,Apple,,Childcare:Leisure,,,-0.99
3/12/2021,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
3/27/2021,Greenlight Card,,Transfer Money,,[inflow account],,,75
Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
4/1/2021,Greenlight Card,,Microsoft Corporation,OneDrive,Childcare:Furnishings,,,-1.99
4/2/2021,Greenlight Card,,Fifty One,,Childcare:Furnishings,,,-29.95
4/2/2021,Greenlight Card,,Village Well Books,,Childcare:Furnishings,,,-5.6
4/2/2021,Greenlight Card,,Sephora,,Childcare:Furnishings,,,-41.51
4/2/2021,Greenlight Card,,Apple,,Childcare:Leisure,,,-9.98
4/3/2021,Greenlight Card,,Transfer Money,,[inflow account],,,150
4/3/2021,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
4/3/2021,Greenlight Card,,Trader Joes,,Childcare:Furnishings,,,-19.05
